timestamp,frame,state,in_zone,has_ppe,ppe_items
2026-03-18T12:23:14.668799,724,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:14.668799,724,COMPLIANT,False,True,Vest
2026-03-18T12:23:14.730510,725,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:14.730510,725,COMPLIANT,False,True,Vest
2026-03-18T12:23:14.791527,726,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:14.791527,726,COMPLIANT,False,True,Vest
2026-03-18T12:23:14.846466,727,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:14.846466,727,COMPLIANT,False,True,Vest
2026-03-18T12:23:14.914026,728,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:14.914026,728,COMPLIANT,False,True,Vest
2026-03-18T12:23:14.981914,729,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:14.981914,729,COMPLIANT,False,True,Vest
2026-03-18T12:23:15.040467,730,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:15.040467,730,COMPLIANT,False,True,Vest
2026-03-18T12:23:15.102584,731,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:15.102584,731,COMPLIANT,False,True,Vest
2026-03-18T12:23:15.171007,732,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:15.171007,732,COMPLIANT,False,True,Vest
2026-03-18T12:23:15.242599,733,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:15.242599,733,COMPLIANT,False,True,Vest
2026-03-18T12:23:15.316969,734,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:15.316969,734,COMPLIANT,False,True,Vest
2026-03-18T12:23:15.403895,735,PPE_VIOLATION_SAFE,False,False,None
2026-03-18T12:23:15.403895,735,COMPLIANT,False,True,Vest
